date,location,machine,action,arg1,arg2,arg3
2019/05/08-19:12:05,0.13,190070690681122:lessandro-mbp,add_card,b523cf65-893a-457d-8828-fd0e776035c4,,
2019/05/08-19:12:08,0.13,190070690681122:lessandro-mbp,pop_buffer,speak with David Sulkov from SF,,
2019/05/08-19:12:29,0.13,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/08-19:13:49,0.13,190070690681122:lessandro-mbp,open_todo,20c9c170-8c02-4d4d-95c0-58516929f675,,
2019/05/08-19:14:06,0.13,190070690681122:lessandro-mbp,quit,todo.py,,
2019/05/08-19:14:28,0.13,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/08-19:53:20,0.13,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/09-07:57:31,0.1,132281831987612:AMOENUS.broadband,open_todo,fad41cf6-ee2f-4b2c-ad0d-966e822b3aa4,,
2019/05/09-07:57:58,0.1,132281831987612:AMOENUS.broadband,quit,todo.py,,
2019/05/09-09:09:30,0.13,190070690681122:lessandro-mbp,open_todo,20c9c170-8c02-4d4d-95c0-58516929f675,,
2019/05/09-09:09:38,0.13,190070690681122:lessandro-mbp,quit,todo.py,,
2019/05/09-09:45:25,0.13,190070690681122:lessandro-mbp,open_todo,20c9c170-8c02-4d4d-95c0-58516929f675,,
2019/05/09-09:45:27,0.13,190070690681122:lessandro-mbp,quit,todo.py,,
2019/05/09-09:46:05,0.13,190070690681122:lessandro-mbp,add_card,48f1f134-c08c-43db-acf0-47426d9486ec,,
2019/05/09-09:46:17,0.13,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/09-09:47:33,0.13,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/09-10:26:47,0.13,190070690681122:lessandro-mbp,open_todo,20c9c170-8c02-4d4d-95c0-58516929f675,,
2019/05/09-10:26:57,0.13,190070690681122:lessandro-mbp,quit,todo.py,,
2019/05/09-10:28:55,0.13,190070690681122:lessandro-mbp,open_todo,20c9c170-8c02-4d4d-95c0-58516929f675,,
2019/05/09-10:28:57,0.13,190070690681122:lessandro-mbp,open_todo,48f1f134-c08c-43db-acf0-47426d9486ec,,
2019/05/09-10:29:11,0.13,190070690681122:lessandro-mbp,quit,todo.py,,
2019/05/09-10:43:19,0.13,190070690681122:lessandro-mbp,open_todo,48f1f134-c08c-43db-acf0-47426d9486ec,,
2019/05/09-10:43:32,0.13,190070690681122:lessandro-mbp,examined_todo,48f1f134-c08c-43db-acf0-47426d9486ec,,
2019/05/09-10:43:34,0.13,190070690681122:lessandro-mbp,quit,todo.py,,
2019/05/09-10:46:11,0.13,190070690681122:lessandro-mbp,open_todo,48f1f134-c08c-43db-acf0-47426d9486ec,,
2019/05/09-10:46:13,0.13,190070690681122:lessandro-mbp,completed_todo,48f1f134-c08c-43db-acf0-47426d9486ec,,
2019/05/09-12:10:54,0.13,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/09-12:15:20,0.13,190070690681122:lessandro-mbp,edit_card,20c9c170-8c02-4d4d-95c0-58516929f675,,
2019/05/09-12:15:38,0.13,190070690681122:lessandro-mbp,edit_card,e34fc67d-6002-43cb-8b35-6585f78293b4,,
2019/05/09-12:15:40,0.13,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/09-16:17:01,0.13,190070690681122:lessandro-mbp,open_todo,20c9c170-8c02-4d4d-95c0-58516929f675,,
2019/05/09-16:17:50,0.13,190070690681122:lessandro-mbp,completed_todo,20c9c170-8c02-4d4d-95c0-58516929f675,,
2019/05/09-16:17:56,0.13,190070690681122:lessandro-mbp,open_todo,e34fc67d-6002-43cb-8b35-6585f78293b4,,
2019/05/09-16:19:44,0.13,190070690681122:lessandro-mbp,quit,todo.py,,
2019/05/09-16:43:44,0.13,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/09-16:43:53,0.13,190070690681122:lessandro-mbp,open_todo,e34fc67d-6002-43cb-8b35-6585f78293b4,,
2019/05/09-16:43:55,0.13,190070690681122:lessandro-mbp,completed_todo,e34fc67d-6002-43cb-8b35-6585f78293b4,,
2019/05/09-16:44:01,0.13,190070690681122:lessandro-mbp,open_todo,6e6b5bfd-4bdd-4c91-b431-b9a6fdd556e1,,
2019/05/09-16:44:04,0.13,190070690681122:lessandro-mbp,completed_todo,6e6b5bfd-4bdd-4c91-b431-b9a6fdd556e1,,
2019/05/09-16:44:11,0.13,190070690681122:lessandro-mbp,open_todo,c1d13788-fbfd-4b93-9299-27af01e17699,,
2019/05/09-16:44:18,0.13,190070690681122:lessandro-mbp,quit,todo.py,,
2019/05/09-16:44:56,0.13,190070690681122:lessandro-mbp,explore_tree,cc847ad0-3c26-40a9-90fb-17bb4f91faba,,
2019/05/09-16:45:42,0.13,190070690681122:lessandro-mbp,explore_tree,7c9b477d-1e26-419c-adfb-0f7e732c0272,,
2019/05/09-16:46:03,0.13,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/09-16:49:08,0.13,190070690681122:lessandro-mbp,add_card,37a84f84-a0b0-4d4e-8d30-726149a53f34,,
2019/05/09-16:49:14,0.13,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/09-17:50:35,0.13,190070690681122:lessandro-mbp,open_todo,37a84f84-a0b0-4d4e-8d30-726149a53f34,,
2019/05/09-17:50:54,0.13,190070690681122:lessandro-mbp,quit,todo.py,,
2019/05/10-09:41:52,0.1,132281831987612:AMOENUS.broadband,open_todo,fad41cf6-ee2f-4b2c-ad0d-966e822b3aa4,,
2019/05/10-09:41:57,0.1,132281831987612:AMOENUS.broadband,completed_todo,fad41cf6-ee2f-4b2c-ad0d-966e822b3aa4,,
2019/05/10-09:42:09,0.1,132281831987612:AMOENUS.broadband,open_todo,d3f042a1-64cc-47ea-8f91-487095606266,,
2019/05/10-09:42:19,0.1,132281831987612:AMOENUS.broadband,examined_todo,d3f042a1-64cc-47ea-8f91-487095606266,,
2019/05/10-09:42:23,0.1,132281831987612:AMOENUS.broadband,quit,todo.py,,
2019/05/10-14:41:00,0.13,190070690681122:lessandro-mbp,open_todo,37a84f84-a0b0-4d4e-8d30-726149a53f34,,
2019/05/10-17:04:35,0.13,190070690681122:lessandro-mbp,quit,todo.py,,
2019/05/11-12:05:22,0.1,190070690681122:lessandro-mbp,explore_tree,1d2a96d2-43c6-497c-aa13-e60ea9b88599,,
2019/05/11-12:05:28,0.1,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/11-12:05:38,0.1,190070690681122:lessandro-mbp,open_todo,d3f042a1-64cc-47ea-8f91-487095606266,,
2019/05/11-12:05:40,0.1,190070690681122:lessandro-mbp,quit,todo.py,,
2019/05/11-12:09:03,0.1,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/11-12:09:45,0.1,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/11-13:49:14,0.13,190070690681122:lessandro-mbp,open_todo,c1d13788-fbfd-4b93-9299-27af01e17699,,
2019/05/11-13:49:28,0.13,190070690681122:lessandro-mbp,quit,todo.py,,
2019/05/11-13:49:36,0.1,190070690681122:lessandro-mbp,open_todo,d3f042a1-64cc-47ea-8f91-487095606266,,
2019/05/11-13:49:40,0.1,190070690681122:lessandro-mbp,quit,todo.py,,
2019/05/11-13:49:44,0.2,190070690681122:lessandro-mbp,open_todo,d3f042a1-64cc-47ea-8f91-487095606266,,
2019/05/11-13:49:47,0.2,190070690681122:lessandro-mbp,quit,todo.py,,
2019/05/11-13:49:52,0.13,190070690681122:lessandro-mbp,open_todo,c1d13788-fbfd-4b93-9299-27af01e17699,,
2019/05/11-13:49:55,0.13,190070690681122:lessandro-mbp,quit,todo.py,,
2019/05/11-17:32:56,0.13,190070690681122:lessandro-mbp,open_todo,c1d13788-fbfd-4b93-9299-27af01e17699,,
2019/05/11-17:32:59,0.13,190070690681122:lessandro-mbp,quit,todo.py,,
2019/05/11-17:33:18,0.13,190070690681122:lessandro-mbp,explore_tree,cc847ad0-3c26-40a9-90fb-17bb4f91faba,,
2019/05/11-17:34:23,0.13,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/11-17:34:31,0.13,190070690681122:lessandro-mbp,open_todo,c1d13788-fbfd-4b93-9299-27af01e17699,,
2019/05/11-17:42:48,0.13,190070690681122:lessandro-mbp,completed_todo,c1d13788-fbfd-4b93-9299-27af01e17699,,
2019/05/11-17:42:56,0.13,190070690681122:lessandro-mbp,open_todo,74ba76a0-cb18-4704-916f-5848559675d1,,
2019/05/11-17:43:31,0.13,190070690681122:lessandro-mbp,quit,todo.py,,
2019/05/11-17:46:46,0.13,190070690681122:lessandro-mbp,open_todo,37a84f84-a0b0-4d4e-8d30-726149a53f34,,
2019/05/11-17:46:48,0.13,190070690681122:lessandro-mbp,quit,todo.py,,
2019/05/11-17:47:45,0.13,190070690681122:lessandro-mbp,open_todo,37a84f84-a0b0-4d4e-8d30-726149a53f34,,
2019/05/11-17:48:11,0.13,190070690681122:lessandro-mbp,quit,todo.py,,
2019/05/11-18:02:25,0.13,190070690681122:lessandro-mbp,open_todo,37a84f84-a0b0-4d4e-8d30-726149a53f34,,
2019/05/11-18:04:05,0.13,190070690681122:lessandro-mbp,completed_todo,37a84f84-a0b0-4d4e-8d30-726149a53f34,,
2019/05/11-18:04:10,0.13,190070690681122:lessandro-mbp,open_todo,74ba76a0-cb18-4704-916f-5848559675d1,,
2019/05/11-18:04:15,0.13,190070690681122:lessandro-mbp,quit,todo.py,,
2019/05/11-18:04:49,0.13,190070690681122:lessandro-mbp,explore_tree,cc847ad0-3c26-40a9-90fb-17bb4f91faba,,
2019/05/11-18:05:17,0.13,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/11-18:07:35,0.13,190070690681122:lessandro-mbp,add_card,805250d6-e687-43cb-b823-f4115a7dbd24,,
2019/05/11-18:07:37,0.13,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/11-18:07:44,0.13,190070690681122:lessandro-mbp,open_todo,805250d6-e687-43cb-b823-f4115a7dbd24,,
2019/05/11-18:07:53,0.13,190070690681122:lessandro-mbp,quit,todo.py,,
2019/05/11-18:08:12,0.13,190070690681122:lessandro-mbp,explore_tree,cc847ad0-3c26-40a9-90fb-17bb4f91faba,,
2019/05/11-18:08:15,0.13,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/11-18:08:22,0.13,190070690681122:lessandro-mbp,open_todo,805250d6-e687-43cb-b823-f4115a7dbd24,,
2019/05/11-18:08:22,0.13,190070690681122:lessandro-mbp,examined_todo,805250d6-e687-43cb-b823-f4115a7dbd24,,
2019/05/11-18:08:32,0.13,190070690681122:lessandro-mbp,quit,todo.py,,
2019/05/11-18:08:44,0.1,190070690681122:lessandro-mbp,open_todo,805250d6-e687-43cb-b823-f4115a7dbd24,,
2019/05/11-18:09:04,0.1,190070690681122:lessandro-mbp,quit,todo.py,,
2019/05/11-18:10:44,0.13,190070690681122:lessandro-mbp,open_todo,805250d6-e687-43cb-b823-f4115a7dbd24,,
2019/05/11-18:10:45,0.13,190070690681122:lessandro-mbp,quit,todo.py,,
2019/05/11-18:11:11,0.13,190070690681122:lessandro-mbp,open_todo,805250d6-e687-43cb-b823-f4115a7dbd24,,
2019/05/11-18:11:15,0.13,190070690681122:lessandro-mbp,quit,todo.py,,
2019/05/11-18:11:28,0.1,190070690681122:lessandro-mbp,open_todo,d3f042a1-64cc-47ea-8f91-487095606266,,
2019/05/11-18:11:52,0.1,190070690681122:lessandro-mbp,quit,todo.py,,
2019/05/11-18:12:11,0.13,190070690681122:lessandro-mbp,explore_tree,9983933f-2f4c-442b-9e3a-f848bcd57292,,
2019/05/11-18:13:28,0.13,190070690681122:lessandro-mbp,edit_card,02593b49-1f3f-4d3b-a6ee-07c39d8471ab,,
2019/05/11-18:13:29,0.13,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/11-18:13:38,0.13,190070690681122:lessandro-mbp,open_todo,805250d6-e687-43cb-b823-f4115a7dbd24,,
2019/05/11-18:13:39,0.13,190070690681122:lessandro-mbp,quit,todo.py,,
2019/05/11-18:13:45,0.1,190070690681122:lessandro-mbp,open_todo,02593b49-1f3f-4d3b-a6ee-07c39d8471ab,,
2019/05/11-18:24:25,0.1,190070690681122:lessandro-mbp,quit,todo.py,,
2019/05/12-22:45:43,0.1,132281831987612:AMOENUS.broadband,open_todo,02593b49-1f3f-4d3b-a6ee-07c39d8471ab,,
2019/05/12-22:51:34,0.1,132281831987612:AMOENUS.broadband,quit,todo.py,,
2019/05/12-22:52:49,0.1,132281831987612:AMOENUS.broadband,explore_tree,9983933f-2f4c-442b-9e3a-f848bcd57292,,
2019/05/12-22:53:40,0.1,132281831987612:AMOENUS.broadband,edit_card,02593b49-1f3f-4d3b-a6ee-07c39d8471ab,,
2019/05/12-22:54:37,0.1,132281831987612:AMOENUS.broadband,quit,open.py,,
2019/05/12-22:55:24,0.1,132281831987612:AMOENUS.broadband,add_card,dcd2252b-9758-4155-8837-f60740ede33d,,
2019/05/12-22:56:28,0.1,132281831987612:AMOENUS.broadband,add_card,861fba9e-70c0-46c2-9671-b131c0bf58e1,,
2019/05/12-22:56:30,0.1,132281831987612:AMOENUS.broadband,quit,open.py,,
2019/05/12-22:56:43,0.1,132281831987612:AMOENUS.broadband,open_todo,d3f042a1-64cc-47ea-8f91-487095606266,,
2019/05/12-22:57:03,0.1,132281831987612:AMOENUS.broadband,quit,todo.py,,
2019/05/12-22:57:30,0.1,132281831987612:AMOENUS.broadband,explore_tree,9983933f-2f4c-442b-9e3a-f848bcd57292,,
2019/05/12-22:58:32,0.1,132281831987612:AMOENUS.broadband,edit_card,1156fbdb-dfe0-4798-9e64-254909af5ab0,,
2019/05/12-22:58:33,0.1,132281831987612:AMOENUS.broadband,quit,open.py,,
2019/05/12-22:58:45,0.1,132281831987612:AMOENUS.broadband,open_todo,dcd2252b-9758-4155-8837-f60740ede33d,,
2019/05/12-22:58:57,0.1,132281831987612:AMOENUS.broadband,examined_todo,dcd2252b-9758-4155-8837-f60740ede33d,,
2019/05/12-22:59:23,0.1,132281831987612:AMOENUS.broadband,quit,todo.py,,
2019/05/12-23:00:21,0.1,132281831987612:AMOENUS.broadband,open_todo,861fba9e-70c0-46c2-9671-b131c0bf58e1,,
2019/05/12-23:00:52,0.1,132281831987612:AMOENUS.broadband,quit,todo.py,,
2019/05/12-23:05:36,0.1,132281831987612:AMOENUS.broadband,quit,open.py,,
2019/05/12-23:05:50,0.1,132281831987612:AMOENUS.broadband,open_todo,dcd2252b-9758-4155-8837-f60740ede33d,,
2019/05/12-23:06:04,0.1,132281831987612:AMOENUS.broadband,quit,todo.py,,
2019/05/12-23:10:17,0.1,132281831987612:AMOENUS.broadband,open_todo,dcd2252b-9758-4155-8837-f60740ede33d,,
2019/05/12-23:10:22,0.1,132281831987612:AMOENUS.broadband,completed_todo,dcd2252b-9758-4155-8837-f60740ede33d,,
2019/05/12-23:10:38,0.1,132281831987612:AMOENUS.broadband,open_todo,861fba9e-70c0-46c2-9671-b131c0bf58e1,,
2019/05/12-23:10:43,0.1,132281831987612:AMOENUS.broadband,examined_todo,861fba9e-70c0-46c2-9671-b131c0bf58e1,,
2019/05/12-23:10:57,0.1,132281831987612:AMOENUS.broadband,quit,todo.py,,
2019/05/12-23:11:30,0.13,132281831987612:AMOENUS.broadband,open_todo,805250d6-e687-43cb-b823-f4115a7dbd24,,
2019/05/12-23:11:43,0.13,132281831987612:AMOENUS.broadband,quit,todo.py,,
2019/05/12-23:12:33,0.13,132281831987612:AMOENUS.broadband,open_todo,805250d6-e687-43cb-b823-f4115a7dbd24,,
2019/05/12-23:12:46,0.13,132281831987612:AMOENUS.broadband,quit,todo.py,,
2019/05/12-23:13:00,0.1,132281831987612:AMOENUS.broadband,open_todo,861fba9e-70c0-46c2-9671-b131c0bf58e1,,
2019/05/12-23:13:03,0.1,132281831987612:AMOENUS.broadband,quit,todo.py,,
2019/05/12-23:19:03,0.1,132281831987612:AMOENUS.broadband,quit,open.py,,
2019/05/12-23:21:39,0.1,132281831987612:AMOENUS.broadband,explore_tree,cc847ad0-3c26-40a9-90fb-17bb4f91faba,,
2019/05/12-23:24:08,0.1,132281831987612:AMOENUS.broadband,add_card,75513341-e165-4fa6-bc30-2d4e7feea599,,
2019/05/12-23:24:56,0.1,132281831987612:AMOENUS.broadband,add_card,26c8b580-746e-4245-be32-6e7f966565b5,,
2019/05/12-23:24:57,0.1,132281831987612:AMOENUS.broadband,quit,open.py,,
2019/05/12-23:25:13,0.1,132281831987612:AMOENUS.broadband,open_todo,861fba9e-70c0-46c2-9671-b131c0bf58e1,,
2019/05/12-23:27:31,0.1,132281831987612:AMOENUS.broadband,quit,todo.py,,
2019/05/12-23:27:52,0.1,132281831987612:AMOENUS.broadband,explore_tree,9983933f-2f4c-442b-9e3a-f848bcd57292,,
2019/05/12-23:30:59,0.1,132281831987612:AMOENUS.broadband,add_card,802f69ff-eade-4328-afef-4e462057a585,,
2019/05/12-23:31:04,0.1,132281831987612:AMOENUS.broadband,explore_tree,9983933f-2f4c-442b-9e3a-f848bcd57292,,
2019/05/12-23:35:26,0.1,132281831987612:AMOENUS.broadband,add_card,d3b59d83-77a0-484c-8760-a7053d0c8369,,
2019/05/12-23:36:40,0.1,132281831987612:AMOENUS.broadband,add_card,eabaa92d-fb39-4af4-8528-fc39ede46340,,
2019/05/12-23:36:42,0.1,132281831987612:AMOENUS.broadband,quit,open.py,,
2019/05/12-23:36:57,0.1,132281831987612:AMOENUS.broadband,open_todo,eabaa92d-fb39-4af4-8528-fc39ede46340,,
2019/05/12-23:37:01,0.1,132281831987612:AMOENUS.broadband,quit,todo.py,,
2019/05/12-23:44:28,0.1,132281831987612:AMOENUS.broadband,add_card,137385fb-23ad-4f74-ae9e-8b0938fef267,,
2019/05/12-23:45:04,0.1,132281831987612:AMOENUS.broadband,edit_card,137385fb-23ad-4f74-ae9e-8b0938fef267,,
2019/05/12-23:45:22,0.1,132281831987612:AMOENUS.broadband,edit_card,137385fb-23ad-4f74-ae9e-8b0938fef267,,
2019/05/12-23:45:24,0.1,132281831987612:AMOENUS.broadband,quit,open.py,,
2019/05/12-23:45:36,0.1,132281831987612:AMOENUS.broadband,open_todo,eabaa92d-fb39-4af4-8528-fc39ede46340,,
2019/05/12-23:45:39,0.1,132281831987612:AMOENUS.broadband,completed_todo,eabaa92d-fb39-4af4-8528-fc39ede46340,,
2019/05/12-23:45:51,0.1,132281831987612:AMOENUS.broadband,open_todo,d3b59d83-77a0-484c-8760-a7053d0c8369,,
2019/05/12-23:45:57,0.1,132281831987612:AMOENUS.broadband,examined_todo,d3b59d83-77a0-484c-8760-a7053d0c8369,,
2019/05/12-23:46:40,0.1,132281831987612:AMOENUS.broadband,open_todo,861fba9e-70c0-46c2-9671-b131c0bf58e1,,
2019/05/12-23:46:43,0.1,132281831987612:AMOENUS.broadband,quit,todo.py,,
2019/05/13-00:03:34,0.1,132281831987612:AMOENUS.broadband,add_card,50938dc7-22a1-4be3-911f-7498ba36553e,,
2019/05/13-00:03:35,0.1,132281831987612:AMOENUS.broadband,quit,open.py,,
2019/05/13-00:04:20,0.1,132281831987612:AMOENUS.broadband,quit,open.py,,
2019/05/13-00:04:41,0.1,132281831987612:AMOENUS.broadband,explore_tree,bf17ce4e-6895-4fdf-9d85-bee5950711f9,,
2019/05/13-00:06:10,0.1,132281831987612:AMOENUS.broadband,add_card,13353e20-d397-4f82-bcc4-de87a543c141,,
2019/05/13-00:06:11,0.1,132281831987612:AMOENUS.broadband,quit,open.py,,
2019/05/13-10:02:21,0.11,64844671153662:lessandro-mbp,open_todo,805250d6-e687-43cb-b823-f4115a7dbd24,,
2019/05/13-10:02:29,0.11,64844671153662:lessandro-mbp,quit,todo.py,,
2019/05/13-10:09:03,0.12,64844671153662:lessandro-mbp,open_todo,805250d6-e687-43cb-b823-f4115a7dbd24,,
2019/05/13-10:09:10,0.12,64844671153662:lessandro-mbp,mood,7,,
2019/05/13-10:09:12,0.12,64844671153662:lessandro-mbp,quit,todo.py,,
2019/05/13-10:09:33,0.12,64844671153662:lessandro-mbp,mood,6,,
2019/05/13-10:09:35,0.12,64844671153662:lessandro-mbp,quit,open.py,,
2019/05/13-10:59:16,0.13,64844671153662:lessandro-mbp,mood,7,,
2019/05/13-10:59:18,0.13,64844671153662:lessandro-mbp,quit,open.py,,
2019/05/13-11:07:14,0.13,64844671153662:lessandro-mbp,open_todo,805250d6-e687-43cb-b823-f4115a7dbd24,,
2019/05/13-11:07:16,0.13,64844671153662:lessandro-mbp,quit,todo.py,,
2019/05/13-12:03:06,0.13,64844671153662:lessandro-mbp,mood,8,,
2019/05/13-12:03:08,0.13,64844671153662:lessandro-mbp,quit,open.py,,
2019/05/13-12:04:29,0.13,64844671153662:lessandro-mbp,mood,7,,
2019/05/13-12:04:30,0.13,64844671153662:lessandro-mbp,quit,open.py,,
2019/05/13-12:15:49,0.13,64844671153662:lessandro-mbp,open_todo,805250d6-e687-43cb-b823-f4115a7dbd24,,
2019/05/13-12:21:26,0.13,64844671153662:lessandro-mbp,examined_todo,805250d6-e687-43cb-b823-f4115a7dbd24,,
2019/05/13-12:21:27,0.13,64844671153662:lessandro-mbp,open_todo,26c8b580-746e-4245-be32-6e7f966565b5,,
